Ngày đăng bài,Tên,Năm sản xuất,Xuất xứ,Địa điểm,Kiểu dáng,Số km đã đi,Hộp số,Trạng thái,Nhiên Liệu,Giá
25/09/2025,Hyundai Elantra 2023,2023,Trong nước,Sóc Sơn - Hà Nội,Sedan,24.000 km,Số tự động,Xe cũ,Máy xăng,580 triệu
14/10/2025,Toyota Vios 1.5 E CVT 2022,2022,Trong nước,Thanh Xuân - Hà Nội,Sedan,50.000 km,Số tự động,Xe cũ,Máy xăng,425 triệu
09/10/2025,Ford Everest Platinum 2.0L 4x4 AT 2021,2021,Nhập khẩu,Tp.HCM,SUV,58.000 km,Số tự động,Xe cũ,Máy dầu,959 triệu
01/10/2025,Ford Ranger XLS 2.0L 4x4 AT 2025,2025,Trong nước,Tân Phú - Tp.HCM,Bán tải,12.000 km,Số tự động,Xe cũ,Máy dầu,720 triệu
19/09/2025,Mitsubishi Xpander AT Premium 2023,2023,Nhập khẩu,Thanh Xuân - Hà Nội,MPV,50.000 km,Số tự động,Xe cũ,Máy xăng,560 triệu
12/10/2025,Mazda CX-5 2.5 AWD 2016,2016,Trong nước,Trà Vinh,SUV,89.000 km,Số tự động,Xe cũ,Máy xăng,450 triệu
10/10/2025,Honda City RS 2022,2022,,Hà Nội,Sedan,,Số tự động,Xe cũ,Máy xăng,465 triệu
08/10/2025,Hyundai Elantra 1.8 AT 2013,2013,Nhập khẩu,Tp.HCM,Sedan,788.000 km,Số tự động,Xe cũ,Máy xăng,265 triệu
23/09/2025,Toyota Raize 2021,2021,Nhập khẩu,Long Biên - Hà Nội,SUV,20.000 km,Số tự động,Xe cũ,Máy xăng,440 triệu
28/09/2025,Kia K3 2.0 Premium 2022,2022,Trong nước,Thanh Xuân - Hà Nội,Sedan,60.000 km,Số tự động,Xe cũ,Máy xăng,565 triệu
07/10/2025,Mercedes-Benz GLC 250 4Matic 2018,2018,Trong nước,Quận 7 - Tp.HCM,SUV,100.000 km,Số tự động,Xe cũ,Máy xăng,999 triệu
15/10/2025,Hyundai Grand i10 2020,2020,Trong nước,Mỹ Hào - Hưng Yên,Hatchback,40.000 km,Số tự động,Xe cũ,Máy xăng,345 triệu
10/10/2025,Kia Carnival 2.2D Signature 2024,2024,Trong nước,Thanh Xuân - Hà Nội,SUV,60.000 km,Số tự động,Xe cũ,Máy dầu,1 tỉ 366 triệu
14/10/2025,Chevrolet Captiva ltz 2.4 at 2008,2008,Trong nước,Đà Nẵng,SUV,94.000 km,Số tự động,Xe cũ,Máy xăng,185 triệu
13/10/2025,Mitsubishi Xpander 1.5 AT  2019,2019,Nhập khẩu,Hải Phòng,MPV,113.418 km,Số tự động,Xe cũ,Máy xăng,430 triệu
03/10/2025,Ford Ranger XLS 2.0L 4x2 AT 2022,2022,Trong nước,Tân Phú - Tp.HCM,Bán tải,45.000 km,Số tự động,Xe cũ,Máy dầu,578 triệu
30/09/2025,Ford EcoSport Titanium 1.5L AT 2017,2017,Trong nước,Tân Phú - Tp.HCM,SUV,87.000 km,Số tự động,Xe cũ,Máy xăng,343 triệu
01/10/2025,Ford Everest Titanium 2.0 AT 4x2 2019,2019,Nhập khẩu,Tân Phú - Tp.HCM,SUV,64.000 km,Số tự động,Xe cũ,Máy dầu,835 triệu
09/10/2025,Ford EcoSport Titanium 1.5L AT 2016,2016,Trong nước,Tân Phú - Tp.HCM,SUV,85.000 km,Số tự động,Xe cũ,Máy xăng,335 triệu
14/10/2025,Ford EcoSport Titanium 1.5L AT 2018,2018,Trong nước,Tân Phú - Tp.HCM,SUV,61.000 km,Số tự động,Xe cũ,Máy xăng,410 triệu
07/10/2025,Mercedes-Benz E200 E200 2020,2020,Nhập khẩu,Quận 7 - Tp.HCM,Sedan,45.000 km,Số tự động,Xe cũ,Máy xăng,1 tỉ 049 triệu
10/10/2025,Hyundai Grand i10 1.2 AT 2023,2023,Nhập khẩu,Khánh Hòa,Hatchback,10.000 km,Số tự động,Xe cũ,Máy xăng,385 triệu
14/10/2025,Ford Ranger XLS 2.0L 4x2 AT 2022,2022,Trong nước,Tân Phú - Tp.HCM,Bán tải,85.000 km,Số tự động,Xe cũ,Máy dầu,568 triệu
16/10/2025,Hyundai Grand i10 1.0 AT 2017,2017,Trong nước,Khoái Châu - Hưng Yên,Hatchback,68.000 km,Số tự động,Xe cũ,Máy xăng,280 triệu
11/10/2025,Kia Morning SLX 1.0 AT 2008,2008,Nhập khẩu,Khoái Châu - Hưng Yên,Hatchback,150.000 km,Số tự động,Xe cũ,Máy xăng,128 triệu
04/10/2025,Honda CR-V 2.4L TG 2011,2011,Trong nước,Khoái Châu - Hưng Yên,SUV,140.000 km,Số tự động,Xe cũ,Máy xăng,310 triệu
29/09/2025,Kia Rondo 1.7 DAT 2015,2015,Trong nước,Khoái Châu - Hưng Yên,SUV,130.000 km,Số tự động,Xe cũ,Máy dầu,350 triệu
10/10/2025,Toyota Avanza 1.5 AT 2023,2023,Trong nước,Tp.HCM,MPV,14.766 km,Số tự động,Xe cũ,Máy xăng,489 triệu
22/09/2025,Hyundai Elantra   2.0 AT 2021,2021,Trong nước,Thanh Xuân - Hà Nội,Sedan,40.000 km,Số tự động,Xe cũ,Máy xăng,490 triệu
09/10/2025,Ford Focus 1.5L EcoBoost Sport 2018,2018,Trong nước,Tân Phú - Tp.HCM,Hatchback,76.000 km,Số tự động,Xe cũ,Máy xăng,465 triệu
17/10/2025,Kia Morning Standard MT 2013,2013,Trong nước,Hạ Hòa - Phú Thọ,Hatchback,110.000 km,Số sàn,Xe cũ,Máy xăng,119 triệu
09/10/2025,Kia Morning S 1.25 AT 2018,2018,Trong nước,Thanh Xuân - Hà Nội,Hatchback,90.000 km,Số tự động,Xe cũ,Máy xăng,288 triệu
19/09/2025,Mitsubishi Triton Athlete 4x2 AT 2022,2022,Trong nước,Hạ Hòa - Phú Thọ,,32.000 km,Số tự động,Xe cũ,Máy xăng,625 triệu
19/09/2025,Suzuki Swift 2019,2019,Nhập khẩu,Long Biên - Hà Nội,,425 km,Số tự động,Xe cũ,Máy xăng,425 triệu
13/10/2025,Mercedes-Benz S450 4Matic Luxury 2022,2022,Nhập khẩu,Bình Tân - Tp.HCM,Sedan,24.000 km,Số tự động,Xe cũ,Máy xăng,3 tỉ 989 triệu
25/09/2025,Mercedes-Benz E200 E200 2019,2019,Trong nước,Bình Tân - Tp.HCM,Sedan,66.000 km,Số tự động,Xe cũ,Máy xăng,1 tỉ 039 triệu
22/09/2025,Mercedes-Benz C200 2.0 AT 2016,2016,Trong nước,Bình Tân - Tp.HCM,Sedan,69.000 km,Số tự động,Xe cũ,Máy xăng,559 triệu
14/10/2025,Mercedes-Benz C200 2.0 AT 2016,2016,Trong nước,Bình Tân - Tp.HCM,Sedan,106.000 km,Số tự động,Xe cũ,Máy xăng,579 triệu
24/09/2025,Hyundai Grand i10 2015,2015,Nhập khẩu,Hạ Hòa - Phú Thọ,Hatchback,100.000 km,Số tự động,Xe cũ,Máy xăng,239 triệu
15/10/2025,Honda City 2017,2017,Trong nước,Tp.HCM,Sedan,68.000 km,Số tự động,Xe cũ,Máy xăng,259 triệu
15/10/2025,VinFast LUX A2.0 2021,2021,Trong nước,Hà Nội,,30.000 km,Số tự động,Xe cũ,Máy xăng,550 triệu
13/10/2025,Peugeot 2008 GT Line 2022,2022,Nhập khẩu,Hưng Yên,SUV,75.000 km,Số tự động,Xe cũ,Máy xăng,600 triệu
08/10/2025,Kia Sedona 2.2 Platinum D 2019,2019,Trong nước,Hà Nội,MPV,160.000 km,Số tự động,Xe cũ,Máy dầu,700 triệu
14/10/2025,Ford Ranger XLS 2.2L 4x2 MT 2022,2022,Trong nước,Tân Phú - Tp.HCM,Bán tải,57.000 km,Số sàn,Xe cũ,Máy dầu,535 triệu
16/10/2025,Mercedes-Benz E200 Exclusive V1 2022,2022,Trong nước,Quận 7 - Tp.HCM,Sedan,27.000 km,Số tự động,Xe cũ,Máy xăng,1 tỉ 689 triệu
15/10/2025,Kia Carnival 3.5G Signature 2022,2022,Trong nước,Quận 7 - Tp.HCM,MPV,35.000 km,Số tự động,Xe cũ,Máy xăng,1 tỉ 200 triệu
15/10/2025,BMW X3 sDrive20i Msport 2024,2024,Nhập khẩu,Quận 7 - Tp.HCM,SUV,29.000 km,Số tự động,Xe cũ,Máy xăng,1 tỉ 839 triệu
15/10/2025,Porsche Macan 2.0 AT 2015,2015,Nhập khẩu,Quận 7 - Tp.HCM,SUV,88.000 km,Số tự động,Xe cũ,Máy xăng,1 tỉ 368 triệu
15/10/2025,Audi TT 2017,2017,Nhập khẩu,Quận 7 - Tp.HCM,Coupe,39.000 km,Số tự động,Xe cũ,Máy xăng,1 tỉ 089 triệu
15/10/2025,Mini Cooper S 3 cửa 2022,2022,Nhập khẩu,Quận 7 - Tp.HCM,Sport Car,9.555 km,Số tự động,Xe cũ,Máy xăng,1 tỉ 579 triệu
15/10/2025,Mercedes-Benz S450 2018,2018,Nhập khẩu,Quận 7 - Tp.HCM,Sedan,62.000 km,Số tự động,Xe cũ,Máy xăng,1 tỉ 668 triệu
15/10/2025,Volkswagen Teramont X 2021,2021,Trong nước,Quận 7 - Tp.HCM,SUV,34.000 km,Số tự động,Xe cũ,Máy xăng,1 tỉ 539 triệu
15/10/2025,Mercedes-Benz GLC 200 4Matic 2021,2021,Nhập khẩu,Quận 7 - Tp.HCM,SUV,52.222 km,Số tự động,Xe cũ,Máy xăng,1 tỉ 299 triệu
17/10/2025,Hyundai Grand i10 Sedan 1.2 MT 2018,2018,Trong nước,Hoài Đức - Hà Nội,Sedan,250.000 km,Số sàn,Xe cũ,Máy xăng,225 triệu
16/10/2025,Toyota Fortuner 2.4 AT 4x2 Legender 2024,2024,Trong nước,Bắc Từ Liêm - Hà Nội,SUV,10.000 km,Số tự động,Xe cũ,Máy dầu,1 tỉ 165 triệu
16/10/2025,Honda CR-V 1.5 G 2018,2018,Trong nước,Bắc Từ Liêm - Hà Nội,,110.000 km,Số tự động,Xe cũ,Máy xăng,660 triệu
02/10/2025,Toyota Camry 2.4G 2011,2011,Trong nước,Thanh Xuân - Hà Nội,Sedan,150.000 km,Số tự động,Xe cũ,Máy xăng,345 triệu
24/09/2025,Toyota Vios 1.5 E CVT 2021,2021,Trong nước,Hạ Hòa - Phú Thọ,Sedan,68.000 km,Số tự động,Xe cũ,Máy xăng,390 triệu
13/10/2025,Hyundai Creta 1.5L Đặc biệt 2022,2022,Trong nước,Mỹ Hào - Hưng Yên,SUV,18.000 km,Số tự động,Xe cũ,Máy xăng,560 triệu
11/10/2025,Ford Ranger XLS 2.0L 4x2 AT 2024,2024,Trong nước,Hà Nội,Bán tải,27.000 km,Số tự động,Xe cũ,Máy xăng,620 triệu
23/09/2025,Ford Transit Tiêu chuẩn 2019,2019,Trong nước,Tân Phú - Tp.HCM,Van/Minivan,61.000 km,Số sàn,Xe cũ,Máy dầu,545 triệu
18/10/2025,Mazda CX-5 2.0 Luxury 2021,2021,Trong nước,Sóc Sơn - Hà Nội,SUV,37.000 km,Số tự động,Xe cũ,Máy xăng,670 triệu
14/10/2025,Ford Transit Cao cấp 2017,2017,Trong nước,Đồng Tháp,Van/Minivan,84.000 km,Số sàn,Xe cũ,Máy dầu,340 triệu
14/10/2025,Lexus RX 300 T 2019,2019,Nhập khẩu,Quận 2 - Tp.HCM,SUV,55.700 km,Số tự động,Xe cũ,Máy xăng,2 tỉ 650 triệu
12/10/2025,Honda City RS 2024,2024,Nhập khẩu,Tp.HCM,Sedan,5.688 km,Số tự động,Xe cũ,Máy xăng,510 triệu
10/10/2025,Mazda 6 2.0 Premium 2019,2019,Trong nước,Hà Nội,Sedan,92.000 km,Số tự động,Xe cũ,Máy xăng,540 triệu
29/09/2025,Peugeot 3008 GT Line 2022,2022,Nhập khẩu,Bắc Từ Liêm - Hà Nội,Crossover,29.000 km,Số tự động,Xe cũ,Máy xăng,820 triệu
23/09/2025,Ford Ranger 2020,2020,Nhập khẩu,Bắc Từ Liêm - Hà Nội,Bán tải,80.000 km,Số tự động,Xe cũ,Máy dầu,675 triệu
11/10/2025,Honda CR-V 1.5 E 2019,2019,Nhập khẩu,Trảng Bom - Đồng Nai,SUV,120.000 km,Số tự động,Xe cũ,Máy xăng,700 triệu
03/10/2025,Ford Ranger Wildtrak 2.2 4x2 AT 2016,2016,Trong nước,Tân Phú - Tp.HCM,Bán tải,59.000 km,Số tự động,Xe cũ,Máy dầu,515 triệu
16/10/2025,Mitsubishi Pajero Sport 2021,2021,Trong nước,Bắc Từ Liêm - Hà Nội,SUV,60.000 km,Số tự động,Xe cũ,Máy dầu,840 triệu
09/10/2025,Honda Civic 2023,2023,,Hà Nội,,23.000 km,Số tự động,Xe cũ,Máy xăng,770 triệu
08/10/2025,Lexus LX 570 Super Sport 2016,2016,Nhập khẩu,Long Biên - Hà Nội,SUV,21.000 km,Số tự động,Xe cũ,Máy xăng,4 tỉ 450 triệu
20/09/2025,Ford Ranger XLS 2.2 4x2 AT 2022,2022,Trong nước,Mỹ Hào - Hưng Yên,Bán tải,40.000 km,Số tự động,Xe cũ,Máy xăng,545 triệu
19/09/2025,Rolls-Royce Cullinan 2019,2019,Nhập khẩu,Long Biên - Hà Nội,,50.000 km,Số tự động,Xe cũ,Máy xăng,11 tỉ 900 triệu
13/10/2025,Toyota Veloz Cross CVT Top 2024,2024,Nhập khẩu,Tp.HCM,MPV,22.000 km,Số tự động,Xe cũ,Máy xăng,600 triệu
13/10/2025,Chevrolet Cruze LTZ 1.8 2017,2017,Nhập khẩu,Tp.HCM,Sedan,80.036 km,Số tự động,Xe cũ,Máy xăng,290 triệu
07/10/2025,Mercedes-Benz GLC 200 4Matic 2022,2022,Trong nước,Quận 7 - Tp.HCM,SUV,58.000 km,Số tự động,Xe cũ,Máy xăng,1 tỉ 459 triệu
25/09/2025,Hyundai Santa Fe 2017,2017,Trong nước,Sóc Sơn - Hà Nội,SUV,90.000 km,Số tự động,Xe cũ,Máy dầu,660 triệu
20/09/2025,Hyundai Grand i10 Hatchback 1.2 AT 2023,2023,Trong nước,Sóc Sơn - Hà Nội,Hatchback,20.000 km,Số tự động,Xe cũ,Máy xăng,385 triệu
10/10/2025,Mitsubishi Xpander 1.5 AT  2019,2019,Nhập khẩu,Thanh Xuân - Hà Nội,MPV,93.000 km,Số tự động,Xe cũ,Máy xăng,433 triệu
09/10/2025,Ford Focus 1.8L 2010,2010,Trong nước,Long An,Hatchback,80.000 km,Số tự động,Xe cũ,Máy xăng,189 triệu
20/09/2025,Lexus GX 460 2016,2016,Nhập khẩu,Gò Vấp - Tp.HCM,SUV,68.000 km,Số tự động,Xe cũ,Máy xăng,2 tỉ 350 triệu
08/10/2025,Toyota Camry 2.5Q 2020,2020,Nhập khẩu,Tp.HCM,Sedan,37.000 km,Số tự động,Xe cũ,Hybrid,850 triệu
14/10/2025,Lexus GX 460 2016,2016,Nhập khẩu,Gò Vấp - Tp.HCM,SUV,68.000 km,Số tự động,Xe cũ,Máy xăng,2 tỉ 350 triệu
15/10/2025,Suzuki Ertiga Hybrid Ertiga AT 2021,2021,Nhập khẩu,Quận 8 - Tp.HCM,MPV,170.000 km,Số tự động,Xe cũ,Máy xăng,375 triệu
14/10/2025,Ford Ranger XLS 2.2L 4x2 MT 2014,2014,Trong nước,Hải Phòng,Bán tải,183.000 km,Số tự động,Xe cũ,Máy dầu,285 triệu
12/10/2025,Kia Morning 1.0MT 2011,2011,Nhập khẩu,Bắc Giang,Hatchback,177.198 km,Số sàn,Xe cũ,Máy xăng,110 triệu
12/10/2025,Fuso Rosa 2016,2016,Trong nước,Tiên Du - Bắc Ninh,Minibus,230.000 km,Số sàn,Xe cũ,Máy dầu,500 triệu
13/10/2025,Mitsubishi Attrage 1.2L MT 2017,2017,Nhập khẩu,Tp.HCM,Sedan,2.018 km,Số sàn,Xe cũ,Máy xăng,150 triệu
09/10/2025,Honda CR-V 1.5 L 2018,2018,Nhập khẩu,Hà Nội,SUV,110.000 km,Số tự động,Xe cũ,Máy xăng,690 triệu
13/10/2025,Toyota Corolla Altis 1.8E CVT 2011,2011,Nhập khẩu,Bình Tân - Tp.HCM,Sedan,73.000 km,Số tự động,Xe cũ,Máy xăng,295 triệu
11/10/2025,Hyundai Elantra 2016,2016,Nhập khẩu,Quảng Nam,Sedan,300.000 km,Số tự động,Xe cũ,Máy xăng,320 triệu
16/10/2025,Hyundai Santa Fe 2.2 Dầu Cao cấp 2021,2021,Trong nước,Quận 1 - Tp.HCM,SUV,31.000 km,Số tự động,Xe cũ,Máy dầu,1 tỉ 069 triệu
13/10/2025,Toyota Innova 2.0G 2006,2006,Trong nước,Hà Nội,MPV,250.000 km,Số tự động,Xe cũ,Máy xăng,165 triệu
12/10/2025,Chevrolet Colorado LT 2.5L 4x2 AT 2018,2018,Nhập khẩu,Tp.HCM,Bán tải,80.000 km,Số tự động,Xe cũ,Máy dầu,385 triệu
09/10/2025,Ford Everest Titanium 2.0 AT 4x2 2019,2019,Nhập khẩu,Tp.HCM,SUV,140.000 km,Số tự động,Xe cũ,Máy xăng,775 triệu
13/10/2025,Ford Ranger XLS 2.0L 4x2 AT 2024,2024,Trong nước,Bình Phước,Bán tải,30.000 km,Số tự động,Xe cũ,Máy xăng,620 triệu
15/10/2025,Toyota Vios 1.5 G CVT 2018,2018,Nhập khẩu,Hà Nội,Sedan,140.000 km,Số tự động,Xe cũ,Máy xăng,340 triệu
08/10/2025,Mitsubishi Mirage 2014,2014,,Hà Nội,Hatchback,90.000 km,Số tự động,Xe cũ,Máy xăng,195 triệu
11/10/2025,Kia Carens SX 2.0 MT 2009,2009,Nhập khẩu,Tp.HCM,MPV,100.000 km,Số sàn,Xe cũ,Máy xăng,150 triệu
14/10/2025,Toyota Innova 2.0E 2016,2016,Nhập khẩu,Đồng Nai,MPV,281.976 km,Số tự động,Xe cũ,Máy xăng,350 triệu
12/10/2025,Mazda 3 Sedan 1.5L Deluxe 2021,2021,Trong nước,Bà Rịa Vũng Tàu,Sedan,30.000 km,Số tự động,Xe cũ,Máy xăng,475 triệu
09/10/2025,Toyota Vios 1.5E MT 2013,2013,Nhập khẩu,Hà Nội,Sedan,40.000 km,Số sàn,Xe cũ,Máy xăng,216 triệu
09/10/2025,Toyota Yaris 2008,2008,Nhập khẩu,Bình Dương,Sedan,81.000 km,Số tự động,Xe cũ,Máy xăng,228 triệu
14/10/2025,VinFast Fadil 2021,2021,Trong nước,Hà Nội,Hatchback,20.000 km,Số tự động,Xe cũ,Máy xăng,320 triệu
10/10/2025,Ford Ranger XLS 2.2L 4x2 MT 2015,2015,Nhập khẩu,Hà Đông - Hà Nội,Bán tải,250.000 km,Số tự động,Xe cũ,Máy dầu,369 triệu
15/10/2025,Toyota Avanza Premio 2019,2019,Nhập khẩu,Hà Nội,MPV,6.000 km,Số sàn,Xe cũ,Máy xăng,340 triệu
20/09/2025,Volvo XC90 2022,2022,Nhập khẩu,Gò Vấp - Tp.HCM,SUV,19.000 km,Số tự động,Xe cũ,Hybrid,3 tỉ 300 triệu
15/10/2025,Kia Carens EX 2.0 MT 2011,2011,Nhập khẩu,Thanh Oai - Hà Nội,MPV,110.000 km,Số sàn,Xe cũ,Máy xăng,150 triệu
15/10/2025,Mercedes-Benz C300 AMG 2016,2016,Nhập khẩu,Hà Nội,Sedan,50.000 km,Số tự động,Xe cũ,Máy xăng,680 triệu
14/10/2025,Honda Jazz RS 2018,2018,Nhập khẩu,Tp.HCM,Hatchback,61.000 km,Số tự động,Xe cũ,Máy xăng,355 triệu
12/10/2025,Ford Escape XLS 2.3 AT 4x2 2013,2013,Trong nước,Hà Nội,SUV,89.000 km,Số tự động,Xe cũ,Máy xăng,260 triệu
13/10/2025,Suzuki Super Carry Van Blind Van 2016,2016,Trong nước,Hà Nội,Van/Minivan,90.000 km,Số sàn,Xe cũ,Máy xăng,110 triệu
09/10/2025,VinFast LUX SA2.0 Tiêu chuẩn 2020,2020,Trong nước,Hà Nội,SUV,60.000 km,Số tự động,Xe cũ,Máy xăng,550 triệu
08/10/2025,Mitsubishi Xpander 1.5 AT  2021,2021,Nhập khẩu,Tp.HCM,MPV,120.000 km,Số tự động,Xe cũ,Máy xăng,450 triệu
15/10/2025,Mazda CX-8 Luxury 2020,2020,Trong nước,An Giang,SUV,106.000 km,Số tự động,Xe cũ,Máy xăng,666 triệu
11/10/2025,Toyota Veloz 2022,2022,Trong nước,Việt Yên - Bắc Giang,MPV,40.000 km,Số tự động,Xe cũ,Máy xăng,570 triệu
08/10/2025,Kia Soluto AT Deluxe 2020,2020,Trong nước,Tp.HCM,Sedan,127.364 km,Số tự động,Xe cũ,Máy xăng,315 triệu
09/10/2025,Mitsubishi Xpander AT Premium 2023,2023,Nhập khẩu,Tp.HCM,MPV,75.000 km,Số tự động,Xe cũ,Máy xăng,530 triệu
13/10/2025,Toyota Innova 2.0V 2008,2008,Trong nước,Tp.HCM,MPV,370.000 km,Số tự động,Xe cũ,Máy xăng,180 triệu
13/10/2025,VinFast LUX SA2.0 Cao cấp 2019,2019,Nhập khẩu,Hà Nội,SUV,117.000 km,Số tự động,Xe cũ,Máy xăng,540 triệu
08/10/2025,Toyota Wigo 1.2 G AT 2024,2024,Nhập khẩu,Tp.HCM,Hatchback,25.000 km,Số tự động,Xe cũ,Máy xăng,370 triệu
08/10/2025,Chevrolet Trax 1.4L LTZ 2016,2016,Trong nước,Hóc Môn - Tp.HCM,SUV,100.000 km,Số tự động,Xe cũ,Máy xăng,330 triệu
13/10/2025,Hyundai Grand i10 Hatchback 1.2 MT Base 2019,2019,Trong nước,Hải Phòng,Hatchback,110.000 km,Số sàn,Xe cũ,Máy xăng,300 triệu
10/10/2025,Mazda 3 1.6 AT 2015,2015,Trong nước,Bình Dương,Sedan,55.000 km,Số tự động,Xe cũ,Máy xăng,370 triệu
16/10/2025,Honda Civic 1.8 AT 2009,2009,Trong nước,Nam Từ Liêm - Hà Nội,Sedan,180.000 km,Số tự động,Xe cũ,Máy xăng,200 triệu
06/10/2025,Mercedes-Benz C300 AMG 2022,2022,Nhập khẩu,Quận 7 - Tp.HCM,Sedan,18.888 km,Số tự động,Xe cũ,Máy xăng,1 tỉ 699 triệu
13/10/2025,Mercedes-Benz GLC 300 4Matic 2023,2023,Trong nước,Cầu Giấy - Hà Nội,SUV,32.000 km,Số tự động,Xe cũ,Máy xăng,2 tỉ 215 triệu
10/10/2025,Ford Ranger XLS 2.2L 4x2 MT 2018,2018,Nhập khẩu,Bình Dương,Bán tải,120.000 km,Số sàn,Xe cũ,Máy dầu,390 triệu
10/10/2025,Mazda CX-8 Premium 2019,2019,Trong nước,Tp.HCM,SUV,86 km,Số tự động,Xe cũ,Máy xăng,779 triệu
13/10/2025,Mazda BT-50 Standard 4x4 2.2 MT 2015,2015,Nhập khẩu,Bình Dương,Bán tải,150.000 km,Số sàn,Xe cũ,Máy dầu,310 triệu
09/10/2025,Mitsubishi Xpander AT Premium 2022,2022,Nhập khẩu,Tp.HCM,MPV,27.000 km,Số tự động,Xe cũ,Máy xăng,540 triệu
10/10/2025,Land Rover Defender 110 3.0 X 2020,2020,Nhập khẩu,Quận 7 - Tp.HCM,SUV,19.999 km,Số tự động,Xe cũ,Máy xăng,4 tỉ 999 triệu
08/10/2025,Toyota Corolla Cross 1.8 G 2021,2021,Nhập khẩu,Tp.HCM,SUV,46.146 km,Số tự động,Xe cũ,Máy xăng,685 triệu
15/10/2025,Mitsubishi Attrage 1.2L MT 2021,2021,Nhập khẩu,Vũng Tàu - Bà Rịa Vũng Tàu,Sedan,15.000 km,Số sàn,Xe cũ,Máy xăng,270 triệu
13/10/2025,Peugeot 2008 Active 2022,2022,Nhập khẩu,Tp.HCM,SUV,35.000 km,Số tự động,Xe cũ,Máy xăng,590 triệu
10/10/2025,BMW X6 xDrive40i Msport 2022,2022,Nhập khẩu,Quận 7 - Tp.HCM,SUV,17.777 km,Số tự động,Xe cũ,Máy xăng,3 tỉ 499 triệu
15/10/2025,VinFast VF e34 Tiêu chuẩn 2023,2023,Trong nước,Hải Phòng,Crossover,28.000 km,Số tự động,Xe cũ,Điện,480 triệu
13/10/2025,Hyundai Santa Fe 2.2 Dầu Cao cấp 2015,2015,Trong nước,Tp.HCM,SUV,120.000 km,Số tự động,Xe cũ,Máy dầu,580 triệu
16/10/2025,Mercedes-Benz AMG GLE 53 2022,2022,Nhập khẩu,Quận 7 - Tp.HCM,SUV,13.333 km,Số tự động,Xe cũ,Máy xăng,3 tỉ 899 triệu
08/10/2025,Toyota Rush 1.5 AT 2018,2018,Nhập khẩu,Tp.HCM,SUV,6.036 km,Số tự động,Xe cũ,Máy xăng,485 triệu
14/10/2025,Hyundai Elantra 1.6 AT 2018,2018,Trong nước,Hà Nội,Sedan,50.000 km,Số tự động,Xe cũ,Máy xăng,410 triệu
28/09/2025,Mercedes-Benz C300 AMG 2022,2022,Nhập khẩu,Quận 7 - Tp.HCM,Sedan,16.666 km,Số tự động,Xe cũ,Máy xăng,1 tỉ 699 triệu
17/10/2025,Mazda CX-5 2.0 Premium 2023,2023,Trong nước,Cầu Giấy - Hà Nội,SUV,32.000 km,Số tự động,Xe cũ,Máy xăng,770 triệu
13/10/2025,Kia Soluto AT Deluxe 2020,2020,Nhập khẩu,Thanh Khê - Đà Nẵng,Sedan,3.079 km,Số tự động,Xe cũ,Máy xăng,350 triệu
08/10/2025,VinFast Fadil Tiêu Chuẩn 2022,2022,Trong nước,Nhà Bè - Tp.HCM,Hatchback,16.390 km,Số tự động,Xe cũ,Máy xăng,340 triệu
12/10/2025,Hyundai Santa Fe 2.2L Dầu Cao cấp 2020,2020,Trong nước,Tp.HCM,SUV,20.000 km,Số tự động,Xe cũ,Máy dầu,835 triệu
12/10/2025,Mini Cooper S 3 cửa 2022,2022,Nhập khẩu,Quận 7 - Tp.HCM,Hatchback,9.500 km,Số tự động,Xe cũ,Máy xăng,1 tỉ 590 triệu
10/10/2025,Mercedes-Benz Maybach S450 4Matic 2019,2019,Nhập khẩu,Quận 7 - Tp.HCM,Sedan,20.000 km,Số tự động,Xe cũ,Máy xăng,4 tỉ 299 triệu
18/10/2025,Acura MDX 2008,2008,Nhập khẩu,Đoan Hùng - Phú Thọ,SUV,100.000 km,Số tự động,Xe cũ,Máy xăng,299 triệu
04/10/2025,Kia Carnival 3.5G Signature 2022,2022,Trong nước,Quận 7 - Tp.HCM,MPV,35.000 km,Số tự động,Xe cũ,Máy xăng,1 tỉ 290 triệu
13/10/2025,Mercedes-Benz E300 AMG 2020,2020,Trong nước,Bình Tân - Tp.HCM,Sedan,22.000 km,Số tự động,Xe cũ,Máy xăng,1 tỉ 399 triệu
14/10/2025,Hyundai Santa Fe 2.2 Dầu Đặc biệt 2022,2022,Trong nước,Đoan Hùng - Phú Thọ,SUV,58.000 km,Số tự động,Xe cũ,Máy dầu,1 tỉ 070 triệu
01/10/2025,Lexus RX 300 2021,2021,Trong nước,Gò Vấp - Tp.HCM,SUV,12.000 km,Số tự động,Xe cũ,Máy xăng,2 tỉ 850 triệu
25/09/2025,MG ZS 1.5 2WD Luxury 2021,2021,Trong nước,Kiến An - Hải Phòng,SUV,60.000 km,Số tự động,Xe cũ,Máy xăng,435 triệu
12/10/2025,Ford Territory 1.5L Titanium 2022,2022,Nhập khẩu,Kiến An - Hải Phòng,SUV,55.000 km,Số tự động,Xe cũ,Máy xăng,725 triệu
13/10/2025,Mercedes-Benz GLC 300 4Matic V1 2022,2022,Trong nước,Bình Tân - Tp.HCM,SUV,39.800 km,Số tự động,Xe cũ,Máy xăng,1 tỉ 699 triệu
30/09/2025,Mercedes-Benz C300 AMG 2019,2019,Trong nước,Bình Tân - Tp.HCM,Sedan,89.000 km,Số tự động,Xe cũ,Máy xăng,999 triệu
